id,protected,Title,Company,Location,Duration,Stipend_per_month,Apply By,Applicants,Skills Required,Perks,Number of Openings,Incentives,Category
2053,12798606,Content Writing,Rentickle,Gurgaon,3,10000,5 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , ",1,0,Content Writing
2054,20843890,Graphic Design,Blacksheep Network,Mumbai,3,5000,13 Feb' 22,Be an early applicant,,"Letter of recommendation , Flexible work hours , Job offer , ",2,0,Graphic Design
2055,90183612,Social Media Marketing,GroomX,Work From Home,3,5000,4 Feb' 22,44 applicants,"Creative Writing , Digital Marketing , English Proficiency (Written) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",2,0,Marketing
2056,32302272,Graphic Design,The Upside Story,Jaipur,3,10000,31 Jan' 22,Be an early applicant,"Adobe Photoshop , CorelDRAW , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,0,Graphic Design
2057,3454122,Web Development,Siemens,Work From Home,5,15000,3 Feb' 22,54 applicants,"Computer Vision , CSS , Django , Flask , HTML , Natural Language Processing (NLP) , Oracle , Python , SQL , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Computer Science
2058,45704460,Law/Legal,B.C. Dasgupta & Company,Delhi,3,5000,1 Mar' 22,125 applicants,,"Certificate , Letter of recommendation , ",2,0,Law
2059,120637372,Operations,Dwellingo,Bangalore,3,6000,10 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , ",2,0,Marketing
2060,24616582,Graphic Design,SuperProcure,Work From Home,6,8000,8 Feb' 22,Be an early applicant,"Adobe Illustrator , Adobe XD , Figma , ","Certificate , Flexible work hours , 5 days a week , ",2,0,Graphic Design
2061,126866532,Mathematics Solution Writing,Obalesh Solution LLP,Work From Home,3,5000,2 Feb' 22,220 applicants,"English Proficiency (Written) , Subject Matter Expert (SME) , ","Certificate , ",10,0,Science
2062,76623862,Digital Marketing,Addensure Media LLP,Work From Home,6,4000,10 Feb' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Written) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Marketing
2063,87806370,Digital Marketing,Internship Studio,Pune,3,7000,5 Feb' 22,36 applicants,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Google Analytics , MS-Excel , Search Engine Optimization (SEO) , ","Certificate , ",1,0,Marketing
2064,113028892,Digital Marketing,Wrig Productions,Work From Home,1,1000,12 Feb' 22,26 applicants,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , ",4,0,Marketing
2065,181150,Artificial Intelligence (AI),Stirring Minds,Work From Home,6,5000,12 Feb' 22,33 applicants,,"Certificate , ",4,0,Computer Science
2066,18357040,Content Writing,Web Ratna LLP,Nadiad,3,6000,29 Jan' 22,Be an early applicant,"American English , Articulate Storyline , British English , Creative Writing , English Proficiency (Spoken) , English Proficiency (Written) , Report Writing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , ",2,0,Content Writing
2067,56753722,Growth Management,Walnut,Delhi,3,8000,7 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Job offer , ",1,0,Marketing
2068,42712860,Human Resources (HR),The Works,Mumbai,3,5000,31 Jan' 22,26 applicants,,"Letter of recommendation , Flexible work hours , Informal dress code , ",2,0,Human Resources
2069,52312,Chartered Accountancy (CA),H S SABHARWAL & Co,Dehradun,24,2000,2 Feb' 22,34 applicants,,,2,0,Commerce
2070,48059656,Marketing,Saveo Healthtech Private Limited,Bangalore,6,8000,11 Feb' 22,Be an early applicant,"Digital Marketing , English Proficiency (Spoken) , MS-Excel , MS-Office , Social Media Marketing , ","Certificate , Letter of recommendation , ",5,0,Marketing
2071,7515922,Internal Communication Management,Youth India Foundation,Work From Home,3,0,1 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , ",15,0,Computer Science
2072,101656906,Digital Marketing,Yatra Softech Private Limited,Chennai,3,2500,29 Jan' 22,40 applicants,"Animation , Digital Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",4,0,Marketing
2073,30266602,Graphic Design,LM Technologies,Chennai,3,9000,6 Feb' 22,Be an early applicant,"Adobe Illustrator , Adobe Photoshop , Adobe Premiere Pro , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",5,0,Graphic Design
2074,117169900,Research (Corporates),Chrysalis Services,Work From Home,3,10000,11 Feb' 22,116 applicants,,"Certificate , Letter of recommendation , ",2,0,Marketing
2075,8535262,Content Development (Law),International Institute Of SDGs & Public Policy Research,Work From Home,1,0,11 Feb' 22,37 applicants,,"Certificate , Letter of recommendation , Flexible work hours , ",10,0,Content Writing
2076,88388302,Digital Marketing,Avanzar Health,Work From Home,4,2500,5 Feb' 22,Be an early applicant,"Digital Marketing , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Marketing
2077,94449342,Social Media Marketing,Aemorio,Jaipur,3,8000,2 Feb' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , Hindi Proficiency (Spoken) , MS-Excel , ","Certificate , Flexible work hours , Informal dress code , Job offer , ",1,0,Marketing
2078,13348162,Copywriting,Dentsu,Work From Home,3,5000,4 Feb' 22,142 applicants,"Copywriting , ","Certificate , 5 days a week , ",6,0,Content Writing
2079,37155220,Human Resources (HR),Houzeo,Thane,3,8000,8 Feb' 22,Be an early applicant,"MS-Office , Recruitment , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",1,0,Human Resources
2080,29893656,Graphic Design,MEDITOK HEALTH CARE,Work From Home,2,2000,2 Feb' 22,26 applicants,"Adobe Illustrator , Adobe Indesign , Adobe Photoshop , ","Certificate , Letter of recommendation , Flexible work hours , ",2,1,Graphic Design
2081,1273612,Web Development,Be Dauntless Foundation,Work From Home,3,0,8 Feb' 22,Be an early applicant,"Animation , ReactJS , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Computer Science
2082,46043110,Law/Legal,Aequitas Victoria Foundation,Work From Home,6,0,5 Feb' 22,43 applicants,,"Certificate , Letter of recommendation , Flexible work hours , ",40,0,Law
2083,5435992,QA Engineering,AltraDimension Technologies Private Limited,Work From Home,6,10000,31 Jan' 22,130 applicants,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Computer Science
2084,4877572,Java & Spring Development,ImpresaPro Serviziz,Jammu,3,10000,1 Feb' 22,Be an early applicant,"Java , REST API , Spring MVC , SQL , ","Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,0,Computer Science
2085,45071182,Teaching (Inclusive Education),DeepThought Edutech Ventures Private Limited,Work From Home,6,4000,4 Feb' 22,130 applicants,,,2,0,Humanities
2086,105277960,Digital Marketing,Speqto Technologies,Faridabad,3,10000,30 Jan' 22,48 applicants,"Digital Marketing , Email Marketing , Facebook Marketing , Google AdWords , Google Analytics , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , ",1,0,Marketing
2087,31489032,Graphic Design,SS Group Of Companys,Nagpur,3,8000,1 Feb' 22,Be an early applicant,"CorelDRAW , Digital Art , ","Certificate , Letter of recommendation , ",10,0,Graphic Design
2088,9944662,Content Writing,Techmediatoday,Work From Home,3,8000,10 Feb' 22,118 applicants,"Creative Writing , English Proficiency (Written) , ","Certificate , 5 days a week , ",1,0,Content Writing
2089,67002510,Business Development (Sales),TheBoredMonkey,Thane,3,7000,1 Feb' 22,Be an early applicant,"Client Relationship , MS-Excel , MS-PowerPoint , ","Certificate , Letter of recommendation , ",3,0,Marketing
2090,81730740,Digital Marketing,Decision Tree Analytics And Services,Gurgaon,3,20000,8 Feb' 22,27 applicants,"Data Analytics , Digital Marketing , English Proficiency (Spoken) , Facebook Marketing , Social Media Marketing , SQL , Tableau , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , ",4,0,Marketing
2091,99950106,Digital Marketing,Alcanes Furniture Industries,Noida,2,3000,31 Jan' 22,Be an early applicant,"Digital Marketing , Email Marketing , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , ",1,0,Marketing
2092,122423260,Engineering Design,DP Pulveriser,Ahmedabad,6,2000,12 Feb' 22,Be an early applicant,"Adobe Photoshop , Adobe Photoshop Lightroom CC , AutoCAD , SolidWorks , Video Editing , ","Certificate , Informal dress code , Free snacks & beverages , ",1,0,Mechanical
2093,62370606,Marketing,Seepa Digital Private Limited,Mohali,2,7500,3 Feb' 22,Be an early applicant,"MS-Excel , MS-Office , ","Certificate , Letter of recommendation , Informal dress code , ",1,0,Marketing
2094,5638350,Control System Engineering (Software),Space Chase Private Limited,Work From Home,3,1000,31 Jan' 22,153 applicants,"C++ Programming , C Programming , Embedded Systems , Python , ","Certificate , Letter of recommendation , ",2,1,Computer Science
2095,2665156,Full Stack Development,SalesBlink,Work From Home,6,15000,4 Feb' 22,32 applicants,"Java , MongoDB , Node.js , ","Flexible work hours , ",2,0,Computer Science
2096,41789860,Human Resources (HR),Nanjil Anand Foundation,Work From Home,3,0,1 Feb' 22,28 applicants,,"Certificate , Letter of recommendation , Flexible work hours , ",30,0,Human Resources
2097,5283202,Web Development,PLAYINGA,Chennai,6,10000,1 Feb' 22,Be an early applicant,"Angular 7.0 , Bootstrap , CSS , HTML , Node.js , NoSQL , TypeScript , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",4,0,Computer Science
2098,96540550,Social Media Marketing,UnGap,Work From Home,6,7000,1 Feb' 22,80 applicants,"Copywriting , English Proficiency (Spoken) , Interpersonal Skills , Microsoft PowerApps , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Marketing
2099,18083856,Content Writing,Officexlr,Work From Home,3,6000,29 Jan' 22,109 applicants,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Content Writing
2100,27211972,Graphic Design,Fatcat Media Private Limited,Chandigarh,1,10000,5 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",1,0,Graphic Design
2101,7406662,Website Management (WordPress),Happy Life Foundation,Work From Home,2,0,9 Feb' 22,42 applicants,"WordPress , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",4,0,Computer Science
2102,77677882,Amazon Account Management,Desire Wallpaper,Work From Home,6,3000,10 Feb' 22,38 applicants,,"Certificate , Letter of recommendation , Job offer , ",1,0,Marketing
2103,31175572,Graphic Design,Inflooo,Work From Home,6,7000,1 Feb' 22,34 applicants,"Adobe Illustrator , Adobe Photoshop , ","Certificate , Letter of recommendation , ",1,0,Graphic Design
2104,124021732,Industrial Design,Phoenix Medical Systems,Chennai,6,10000,1 Feb' 22,50 applicants,"Adobe XD , Rhino , UI & UX Design , User Interface (UI) Development , ","Certificate , ",1,0,Mechanical
2105,87918852,Search Engine Optimization (SEO),Bizalign Technologies,Work From Home,1,1000,5 Feb' 22,107 applicants,"Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",1,0,Marketing
2106,108670300,Sales,GetSetHome,Mumbai,3,5000,12 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , ",2,0,Marketing
2107,101959606,Digital Marketing,Cyphware Infotech,Mumbai,6,6000,29 Jan' 22,Be an early applicant,,"Certificate , Letter of recommendation , ",1,0,Marketing
2108,95853990,Digital Marketing,BENCHMARK LOGISTICS,Mumbai,1,10000,2 Feb' 22,74 applicants,"Email Marketing , Google AdWords , Google Analytics , Google Suite (G Suite) , ","Flexible work hours , ",1,0,Marketing
2109,25954030,Graphic Design,Kremedine Cancer Care Foundation,Bhopal,2,0,7 Feb' 22,Be an early applicant,,"Certificate , Flexible work hours , ",5,0,Graphic Design
2110,51058270,Marketing,Tourbel,Bilbao (Spain),6,300,3 Mar' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Office , Social Media Marketing , ",,1,0,Marketing
2111,31725156,Graphic Design,Amor Healthcare Services,Work From Home,2,1000,31 Jan' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Photoshop , Adobe Photoshop Lightroom CC , Video Editing , Video Making , ","Flexible work hours , ",1,0,Graphic Design
2112,52005832,Business Development (Sales),Hospitality Minds,Mumbai,6,8000,10 Feb' 22,Be an early applicant,"Client Relationship , MS-Excel , MS-Office , ","Certificate , Letter of recommendation , Informal dress code , ",1,0,Marketing
2113,89349856,Digital Marketing,Make U Up Makeup Studio & Academy,Delhi,2,5000,4 Feb' 22,Be an early applicant,"Email Marketing , Facebook Marketing , Google AdWords , Google Analytics , MS-Excel , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Job offer , ",2,1,Marketing
2114,87956362,Digital Marketing,News Watchers,Chennai,2,5000,5 Feb' 22,56 applicants,"Search Engine Optimization (SEO) , ",,4,0,Marketing
2115,6505150,Web Development,Wisestep,Work From Home,6,24000,31 Jan' 22,Be an early applicant,"Apache Cassandra , Apache Kafka , Java , ReactJS , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",3,0,Computer Science
2116,32200050,Graphic Design,Fintellect Entertainment Private Limited,Work From Home,2,4500,31 Jan' 22,63 applicants,"Adobe Photoshop , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Graphic Design
2117,79432756,Social Media Marketing,Cubesharp Developers,Work From Home,3,5000,9 Feb' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",1,0,Marketing
2118,880882,Mobile App Development,FirstOn (CCSN Technology Private Limited),Work From Home,6,4000,9 Feb' 22,Be an early applicant,"Android , Firebase , Flutter , iOS , React Native , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",3,1,Computer Science
2119,88991022,Community Engagement,Imates Technology Private Limited,Work From Home,3,10000,4 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , ",1,0,Marketing
2120,104458720,Digital Marketing,Serv India Consultants (SIC),Work From Home,6,1000,31 Jan' 22,Be an early applicant,"Adobe Photoshop , Creative Writing , English Proficiency (Spoken) , English Proficiency (Written) , Search Engine Marketing (SEM) , Subject Matter Expert (SME) , Video Editing , Video Making , ","Certificate , ",4,0,Marketing
2121,51430512,Business Development (Sales),PropReturns,Mumbai,3,6500,10 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , MS-Excel , ","Certificate , Letter of recommendation , ",2,1,Marketing
2122,125518512,Subject Matter Expert (Content Designing),STEAM Troops Innovation Labs Private Limited,Work From Home,3,3000,9 Feb' 22,97 applicants,"Biology , Chemistry , Mathematics , Online Teaching , Physics , Subject Matter Expert (SME) , Teaching , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,0,Science
2123,23546856,Graphic Design,Pine Craft International Private Limited,Noida,2,5000,10 Feb' 22,Be an early applicant,"Adobe Creative Suite , Adobe Illustrator , Adobe Photoshop , Adobe Premiere Pro , Photography , Video Editing , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , ",1,0,Graphic Design
2124,6993480,PHP Development,Wizorbit Softwares Private Limited,Udaipur,6,4000,8 Feb' 22,Be an early applicant,"CSS , HTML , Joomla , PHP , WordPress , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",4,0,Computer Science
2125,101495650,Digital Marketing,Adsteller Technologies Private Limited,Work From Home,3,1500,29 Jan' 22,Be an early applicant,"Digital Marketing , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , ",2,0,Marketing
2126,10020490,Content Writing,Saraf Tech,Work From Home,1,12000,9 Feb' 22,214 applicants,,"Certificate , ",2,0,Content Writing
2127,13246060,Content Writing,ILS Network,Work From Home,3,4000,5 Feb' 22,38 applicants,"English Proficiency (Written) , Facebook Marketing , Google AdWords , Google Analytics , Instagram Marketing , MS-Word , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , WordPress , ","Certificate , Letter of recommendation , Flexible work hours , ",5,0,Content Writing
2128,101032752,Digital Marketing,Destek Infosolutions Private Limited,Work From Home,6,5000,30 Jan' 22,101 applicants,,"Certificate , ",5,0,Marketing
2129,90792412,Digital Marketing,Accunity Services,Work From Home,6,3000,4 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , ",5,0,Marketing
2130,4249882,Web Development,The Brand Chapter,Jaipur,3,6000,2 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Informal dress code , ",2,0,Computer Science
2131,21580770,UI/UX Design & Graphic Design,CrowdOverflow Limited,Work From Home,2,1000,12 Feb' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Figma , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Graphic Design
2132,32850192,Graphic Design,DroneAcharya Aerial Innovations Private Limited,Pune,3,12000,5 Feb' 22,26 applicants,"Adobe Illustrator , Adobe Photoshop , Video Editing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,0,Graphic Design
2133,7910256,Content Writing,Netism Soft Private Limited,Work From Home,3,1000,12 Feb' 22,Be an early applicant,"Blogging , Creative Writing , Digital Marketing , English Proficiency (Written) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",4,0,Content Writing
2134,116996772,Research Analysis,Rivan Solutions,Work From Home,6,1000,11 Feb' 22,149 applicants,"MS-Excel , ","Certificate , Letter of recommendation , Flexible work hours , ",5,0,Marketing
2135,99131992,E-commerce Management,Lotusfeet Ecommerce Private Limited,Work From Home,3,1000,31 Jan' 22,40 applicants,"Digital Marketing , Instagram Marketing , ","Certificate , ",1,1,Marketing
2136,107443690,Sales Support,Webtechage Private Limited,Sonipat,3,5000,13 Feb' 22,Be an early applicant,,"Certificate , Informal dress code , ",13,0,Marketing
2137,6500050,Front End Development - Angular,Great Future Technology Private Limited,Work From Home,6,1000,16 Feb' 22,Be an early applicant,"Angular 7.0 , ","Certificate , Letter of recommendation , ",1,0,Computer Science
2138,65521030,Business Development (Sales),Morning Owl,Work From Home,1,5000,1 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",20,1,Marketing
2139,41725240,Human Resources (HR),The Bulletin Boards,Delhi,6,5000,1 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Office , ","Certificate , Letter of recommendation , ",2,0,Human Resources
2140,32804356,Video Content Development (Photoshop),EduBenchers,Work From Home,1,1000,31 Jan' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , ",1,0,Graphic Design
2141,17426550,Content Writing,Stirring Minds,Delhi,6,2000,31 Jan' 22,93 applicants,,"Certificate , Letter of recommendation , Flexible work hours , ",20,0,Content Writing
2142,101838472,Social Media Marketing,Amero Research & Loyalty Solutions Private Limited,Work From Home,3,3000,29 Jan' 22,37 applicants,"Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",6,0,Marketing
2143,1049700,Python Development,EduGorilla,Lucknow,6,15000,7 Mar' 22,257 applicants,"Algorithms , Amazon Web Server (AWS) , Data Analytics , Data Structures , Django , HTML , JavaScript , Python , ","Certificate , Flexible work hours , Job offer , ",5,0,Computer Science
2144,23508052,Graphic Design,Saraf Tech,Work From Home,1,1000,10 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , ",1,0,Graphic Design
2145,28724340,Graphic Design,Localyour,Work From Home,3,1500,3 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , 5 days a week , ",1,0,Graphic Design
2146,52077972,Business Development (Sales),Silverhash Digital,Work From Home,1,1000,10 Feb' 22,Be an early applicant,"Digital Marketing , Hindi Proficiency (Spoken) , ","Certificate , Letter of recommendation , Flexible work hours , ",20,1,Marketing
2147,3808452,Blockchain Smart Contract Development,Quagnitia Learning Private Limited,Work From Home,6,20000,2 Feb' 22,76 applicants,,"Certificate , Letter of recommendation , Flexible work hours , ",2,0,Computer Science
2148,78136860,Social Media Marketing,Life Style Foods Private Limited,Work From Home,6,6000,10 Feb' 22,32 applicants,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , ",2,0,Marketing
2149,123652,Web Development,Varlyq Technologies,Work From Home,3,4000,28 Feb' 22,65 applicants,"CSS , Express.js , HTML , MongoDB , Node.js , ReactJS , ","Certificate , Flexible work hours , ",5,0,Computer Science
2150,51991410,Business Development (Sales),Dailyonlineoffer,Work From Home,6,5000,10 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , ",4,0,Marketing
2151,82020292,Digital Marketing,Logicspice Consultancy Private Limited,Work From Home,3,1000,8 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",6,1,Marketing
2152,23016106,Graphic Design,Kryzen Biotech Private Limited,Work From Home,5,5000,10 Feb' 22,Be an early applicant,"Adobe Photoshop , CorelDRAW , Video Editing , ","Certificate , Letter of recommendation , Flexible work hours , ",4,0,Graphic Design
2153,121319310,Social Media Marketing,Samagra Foundation,Work From Home,1,0,13 Feb' 22,Be an early applicant,"English Proficiency (Written) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",5,0,Marketing
2154,13414006,Content Writing,Apolloedoc,Work From Home,2,5000,4 Feb' 22,97 applicants,"Creative Writing , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , ",3,0,Content Writing
2155,45151780,Law/Legal,Digikull,Work From Home,3,5000,13 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Word , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Law
2156,21692406,Graphic Design,Creativedial Consultancy Services,Lucknow,3,5000,12 Feb' 22,Be an early applicant,,"Certificate , 5 days a week , Job offer , ",2,0,Graphic Design
2157,27662440,Graphic Design,Abha Studios,Work From Home,6,10000,4 Feb' 22,62 applicants,"3ds Max , Adobe After Effects , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe Premiere Pro , CorelDRAW , ","Certificate , ",1,0,Graphic Design
2158,9925750,Content Writing,Future Gurukuls Edutech Private Limitede,Work From Home,2,4000,10 Feb' 22,37 applicants,"Creative Writing , English Proficiency (Written) , Research and Analytics , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",2,0,Content Writing
2159,32896060,Graphic Design,Let's Manage India Private Limited,Pune,3,2000,16 Feb' 22,Be an early applicant,"Adobe Illustrator , Adobe Photoshop , Adobe Photoshop Lightroom CC , Adobe Premiere Pro , CorelDRAW , Instagram Marketing , UI & UX Design , Vector Dynamics , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",10,0,Graphic Design
2160,23169882,Graphic Design,Inscinn,Work From Home,1,2000,10 Feb' 22,28 applicants,"Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Animation , CorelDRAW , Social Media Marketing , ","Letter of recommendation , Flexible work hours , ",1,0,Graphic Design
2161,76799032,Digital Marketing,InsightDials,Work From Home,2,5000,10 Feb' 22,Be an early applicant,,"Certificate , ",1,0,Marketing
2162,65375410,Business Development (Sales),Adas International,Kolkata,2,10000,1 Feb' 22,Be an early applicant,"Client Relationship , Salesforce , ","Letter of recommendation , ",3,0,Marketing
2163,26455692,Graphic Design,Inframe Design Institute,Work From Home,4,3000,6 Feb' 22,37 applicants,"Adobe After Effects , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe Premiere Pro , CorelDRAW , ","Certificate , Letter of recommendation , Flexible work hours , ",4,0,Graphic Design
2164,8640760,Content Writing,Adbizit,Mumbai,3,5000,11 Feb' 22,Be an early applicant,"Blogging , Copywriting , English Proficiency (Spoken) , English Proficiency (Written) , MS-Office , Report Writing , ","Certificate , Letter of recommendation , Informal dress code , ",1,0,Content Writing
2165,20344710,Operations,Faucet Labs Private Limited,Gurgaon,3,7000,8 Feb' 22,32 applicants,"Accounting , American English , English Proficiency (Spoken) , English Proficiency (Written) , Financial literacy , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Finance
2166,1797040,Full Stack Development,ThinkTac,Work From Home,3,7500,7 Feb' 22,34 applicants,"AngularJS , CSS , English Proficiency (Written) , Firebase , HTML , JavaScript , ","Certificate , 5 days a week , ",2,0,Computer Science
2167,116737320,Business Development (Sales),Manifest My Dreams (Binge Works Technologies),Pune,3,6000,11 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Informal dress code , ",1,0,Marketing
2168,64553290,Business Development (Sales),Baclinc,Mumbai,2,7000,2 Feb' 22,Be an early applicant,,"Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , ",2,0,Marketing
2169,81821170,Web Development,Luxury Store,Work From Home,2,2000,8 Feb' 22,31 applicants,"Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",5,1,Marketing
2170,53282800,Brand Relations Management,Picture Dekho Productions,Work From Home,1,3000,9 Feb' 22,Be an early applicant,,"Certificate , Flexible work hours , ",1,0,Marketing
2171,80236906,Digital Marketing,Plausibility Solutions,Work From Home,3,4000,9 Feb' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , UI & UX Design , ","Certificate , Letter of recommendation , 5 days a week , ",1,0,Marketing
2172,56874322,Business Development (Sales),Econaur,Jaipur,3,10000,7 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",2,0,Marketing
2173,2507572,Python/Django Development,OckyPocky,Delhi,6,10000,4 Feb' 22,58 applicants,"AngularJS , CSS , Django , HTML , JavaScript , Python , WordPress , ","Certificate , Letter of recommendation , Job offer , ",4,0,Computer Science
2174,1995256,Full Stack Development,Infuzex Ventures,Work From Home,3,5000,5 Feb' 22,57 applicants,"MongoDB , Node.js , ReactJS , ","Certificate , Letter of recommendation , Flexible work hours , ",3,0,Computer Science
2175,30442906,Graphic Design,Khelo Tech & Strategy Private Limited,Delhi,4,6500,2 Feb' 22,Be an early applicant,,"Certificate , ",1,0,Graphic Design
