id,protected,Title,Company,Location,Duration,Stipend_per_month,Apply By,Applicants,Skills Required,Perks,Number of Openings,Incentives,Category
29,1489720,Game Development,Shantanu Sontakke,Work From Home,3,4000,7 Feb' 22,Be an early applicant,"Blender 3D , C# , Unity 3D , Unity Engine , ","Certificate , Flexible work hours , 5 days a week , ",1,1,Computer Science
30,56062756,Business Development (Sales),Malpani Ply & Veneers,Hyderabad,3,15000,7 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",4,1,Marketing
31,3117090,Mautic Maintenance,SelfCAD,Work From Home,6,10000,3 Feb' 22,Be an early applicant,"Apache , MySQL , PHP , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Computer Science
32,10663590,Content Editing,HAPS DIGITAL,Work From Home,3,5000,8 Feb' 22,93 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , ",1,0,Content Writing
33,6034492,Mobile App Development,Tezz Quality,Work From Home,1,2000,31 Jan' 22,83 applicants,"Flutter , ","Certificate , Letter of recommendation , ",2,0,Computer Science
34,53093182,Business Development (Sales),Forum Of Industry And Academic Knowledge Sharing (FIAKS),Mumbai,6,10000,9 Feb' 22,Be an early applicant,"Articulate Storyline , Client Relationship , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Event Management , Hindi Proficiency (Spoken) , MS-Excel , MS-Office , MS-Word , Salesforce , ","Job offer , ",2,1,Marketing
35,4006102,IT,Trupik Foods Private Limited,Gurgaon,1,5000,2 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , Recruitment , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , ",3,0,Computer Science
36,2290782,Mobile App Development,Webphiser Education & Technologies Private Limited,Work From Home,6,3000,5 Feb' 22,Be an early applicant,"Dart , Flutter , Java , REST API , UI & UX Design , ","Certificate , Flexible work hours , 5 days a week , ",3,0,Computer Science
37,16601650,Content Writing,SS Group Of Companys,Nagpur,3,8000,1 Feb' 22,Be an early applicant,"Digital Marketing , ","Certificate , Letter of recommendation , ",10,0,Content Writing
38,66642832,Marketing,BVC Logistics,Work From Home,6,25000,1 Feb' 22,191 applicants,"Digital Marketing , ","Flexible work hours , ",1,0,Marketing
39,31376902,Graphic Design,Payiza,Noida,3,15000,1 Feb' 22,Be an early applicant,"Adobe After Effects , Adobe Illustrator , Digital Art , ","Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , Job offer , ",6,0,Graphic Design
40,40024702,Human Resources (HR),Khandelwal Industries & Export,Work From Home,6,6000,3 Feb' 22,129 applicants,"MS-Excel , ","Certificate , Letter of recommendation , Flexible work hours , ",1,0,Human Resources
41,6368152,Web Development,Triwits Technologies,Vijayapura,3,2000,31 Jan' 22,Be an early applicant,"C# , C#.NET , C++ Programming , CSS , HTML , Java , JavaScript , ","Certificate , ",6,0,Computer Science
42,86202040,Digital Marketing,Next Generation Skills Analytics And Testing Private Limited,Work From Home,3,10000,6 Feb' 22,144 applicants,,"Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,0,Marketing
